IAT,Tot sum,Magnitue,Min,Tot size,AVG,Max,Header_Length,Rate,Srate,Std,Radius,Covariance,flow_duration,Variance,Protocol Type,rst_count,urg_count,syn_count,HTTPS,ack_count,ack_flag_number,fin_count,SSH,DNS,label,pred
0.9989504452173168,0.0212084882693071,0.0615662800428455,0.0011770643209026,0.0121942301045773,0.0098564825624491,0.0068992804841327,0.0004162268315342,5.169626518976337e-07,5.169626518976337e-07,0.0094375603610906,0.0094191764246597,8.929757517799507e-05,0.000893434979208,1.0,0.2344833524576347,0.0003359504923038,7.314330434059636e-05,2.0930889586273718e-06,0.0,0.0,0.0,0.0,0.0,0.0,Web-based,Web-based
0.999983776898527,0.0218186774550334,0.0637947073149862,0.0009384545676504,0.0089544469876554,0.0103776153240706,0.0066571499172619,0.0002185971705382,5.162677546517503e-07,5.162677546517503e-07,0.0087532246139381,0.008746833933351,7.682777736735625e-05,0.0006097176481504,1.0000000000000002,0.1995625012297107,0.0011799086444951,0.001556857125673,0.0002784419962441,0.0,0.0,0.0,0.0,0.0,0.0,Web-based,Web-based
0.998582222261547,0.0194295917328579,0.0567075500049605,0.0006079888968819,0.0101595008257788,0.0089168361436645,0.0070715633745415,0.000167350070515,1.7597845451734498e-07,1.7597845451734498e-07,0.0079149594028327,0.0078678298188469,6.175825522793885e-05,0.000114601614337,1.0,0.2808305366168671,0.0002822560408562,0.0003851386139754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web-based,Web-based
0.9998074243008932,0.0137929303527897,0.0392460279812798,0.00128619266266,0.0040558505668771,0.0055026026772177,0.0039367949664601,5.574142085348171e-05,1.3628177223596962e-05,1.3628177223596962e-05,0.0048949761576922,0.004886397398437,2.4246809116632945e-05,1.5215517428756989e-05,1.0,0.2846189882987953,0.0002200954029197,0.0001512128271,0.0052169491588047,0.0,0.0,0.0,0.0,0.0,1.0,Web-based,Web-based
0.9999628843871096,0.0566591242559695,0.1395642409240574,0.0017159383703715,0.012362503858183,0.032296349098406,0.0296876241014933,0.0022958509437613,6.649740272196892e-06,6.649740272196892e-06,0.0476445080124682,0.0475573473449703,0.0022581944815551,7.85033334036552e-05,1.0000000000000004,0.1181928085994168,0.002918768916533,0.0014214151762966,0.1385538578948238,1.0000000000000004,0.0005853407292978,1.0000000000000004,0.0,0.0,0.0,Web-based,Web-based
5.544310384982705e-13,0.0021698814794664,0.0088204339863965,0.0008861974743371,0.0024519679625674,0.0010428595397745,0.0006781928259191,0.2781835172867767,0.0001507603814007,0.0001507603814007,0.0005138282364985,0.0005127773012741,1.49231865489946e-05,4.970106834783126e-06,0.018521020737223,0.1276595744680851,0.2585751399131462,0.0163297971331736,0.1554001554001554,1.0000000000000002,0.0,1.0000000000000002,0.0,0.0,0.0,Web-based,Web-based
0.9999607278379378,0.0161422632440131,0.0471806236764853,0.0013185907177675,0.0052799202919918,0.0069652183523033,0.0038406724242082,0.0003671207479258,4.064063036008578e-07,4.064063036008578e-07,0.0051587626687616,0.005147073459835,2.644396477988762e-05,0.000303268435014,1.0,0.1386379157146818,0.0024678994745811,0.003477374828935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web-based,Web-based
0.9982933512856904,0.015252253505465,0.0438077261846417,0.0012915364757242,0.0056471011189085,0.0063484302482898,0.0042431759543425,0.0010182601032596,3.846734270033531e-06,3.846734270033531e-06,0.0052147172069603,0.0052057100309477,2.7931871924604696e-05,0.00047255550311,1.0,0.1961995990834903,0.0068001546681984,0.007505899816195,0.0364630549460544,0.0,0.0,1.0,0.0,0.0,0.0,Web-based,Web-based
0.9999920135718506,0.2024163256416422,0.3145004411269637,0.0026241164284163,0.0566575946655048,0.1220328740595376,0.1422492084063214,0.0088660503428168,9.343472471969063e-06,9.343472471969063e-06,0.1387909583929507,0.1387748370776787,0.0193153017688413,0.0002889801146067,0.9999999999999998,0.1290057515209318,0.0089513741208841,0.0026421272511863,0.1393709417918569,0.9999999999999998,0.0,0.9999999999999998,0.0,0.0,0.0,Web-based,Web-based
0.9991193636992266,0.0173164823965855,0.050812886717328,0.0011670597852974,0.004916037755953,0.0077318059081055,0.0104132657716675,0.0007754525829264,1.956785145945527e-06,1.956785145945527e-06,0.0105835716415579,0.0105698609554619,0.0001209799801398,0.00027477889645,1.0000000000000002,0.1154647997635692,0.0051486377694519,0.0052457868992492,0.0403273657883229,0.0,0.0508314402560925,0.0,0.000176817306884,0.0,0.0,Web-based,Web-based
